Transaction Number,Day,Actual Cost,Predicted Cost,Squared Error
1,1,946.0106674,956.0734534,101.2596623
2,1,938.7255215,953.7606574,226.0553121
3,1,948.5857262,944.1256241,19.89251082
4,1,956.340229,979.6546224,543.5609377
5,1,941.8012095,947.8570453,36.67314701
6,1,946.4191378,961.1253816,216.2736051
7,1,953.1012487,949.6726332,11.75540427
8,1,936.6013681,953.9230542,300.0408101
9,1,947.6104862,950.5203598,8.467364004
10,1,948.0719348,948.6876302,0.379080799
11,1,949.0247677,949.6618779,0.405909472
12,1,953.0812927,954.9131011,3.355521778
13,1,936.1676706,957.2636408,445.039961
14,1,944.9590983,977.6277727,1067.242287
15,1,951.8181799,957.65993,34.12604417
16,1,950.4171127,947.1191147,10.87679044
17,1,952.4799504,941.9680678,110.4996759
18,1,960.4722779,946.8405674,185.8235316
19,1,959.8794233,966.4471815,43.13544776
20,1,937.6402549,940.5213528,8.300725162
21,2,938.2901753,955.2177661,286.5433297
22,2,967.1631836,957.6770858,89.98605161
23,2,952.8759386,951.8130896,1.129647987
24,2,948.1836408,968.351296,406.7343178
25,2,952.2082967,937.6537619,211.834484
26,2,945.9870885,947.8444098,3.449642252
27,2,956.4062843,966.724932,106.4744916
28,2,967.1597508,949.0022777,329.6938294
29,2,941.175098,932.1710201,81.07341758
30,2,958.0899939,956.1799616,3.648223235
31,2,960.063361,937.7532717,497.7400852
32,2,931.5018978,969.4244979,1438.123595
33,2,949.8452826,949.8348385,0.000109078
34,2,957.6217907,958.9148374,1.67196974
35,2,939.9804003,972.9687426,1088.230726
36,2,945.669626,949.6214328,15.61677647
37,2,953.6892771,936.6157773,291.5043961
38,2,946.5224381,966.3254424,392.158979
39,2,957.0947196,962.177444,25.83408739
40,2,946.7702019,971.1544348,594.5908108
41,3,933.9463016,946.1953511,150.0392126
42,3,950.1138057,950.4092395,0.087281132
43,3,943.7673695,958.616008,220.4820628
44,3,940.420819,959.7089814,372.0332088
45,3,951.7789262,946.6602677,26.20066479
46,3,953.1041942,968.3620045,232.8007751
47,3,966.490708,967.8710976,1.905475385
48,3,938.0147967,958.7002989,427.8900019
49,3,942.6595397,952.1973815,90.97042637
50,3,956.6009189,959.6133219,9.074572203
51,3,952.8382055,954.3992889,2.436981353
52,3,945.9306425,974.1255742,794.9541783
53,3,954.293356,948.2612324,36.38651407
54,3,950.2595835,962.612437,152.5929888
55,3,964.0145522,954.2311366,95.71522108
56,3,971.0839101,954.9049698,261.7581081
57,3,956.0785573,948.8024756,52.94136473
58,3,933.3894616,963.3009065,894.6945362
59,3,953.8073448,956.6684654,8.186011539
60,3,995.4102875,946.3359299,2408.29257
61,4,939.3766525,974.125067,1207.452308
62,4,945.6122731,966.2833634,427.2939771
63,4,949.4776583,962.4705287,168.8146808
64,4,959.6820773,948.3964925,127.3644248
65,4,959.7012241,949.4499494,105.0886335
66,4,950.4780462,956.1127885,31.75032114
67,4,959.2027444,947.7125564,132.024422
68,4,954.5691876,971.2327211,277.6733489
69,4,965.9363204,941.6926136,587.7573206
70,4,952.1505951,949.8674082,5.212942421
71,4,942.7155576,953.7250807,121.209599
72,4,932.9579735,947.9504052,224.7730078
73,4,947.1044621,939.5731636,56.72045713
74,4,938.6724287,939.2096328,0.288588267
75,4,953.113755,959.187801,36.89403411
76,4,950.9774415,959.5329814,73.19726395
77,4,942.3177251,948.7282194,41.0944372
78,4,935.6239167,967.8736284,1040.043905
79,4,939.915041,951.2563253,128.6247296
80,4,959.8683182,970.5929188,115.0170586
81,5,946.6103098,967.1363116,421.3167468
82,5,930.3383452,958.4401923,789.7138116
83,5,935.746523,961.6128025,669.0644124
84,5,948.5968027,970.0724382,461.2029212
85,5,928.7293536,958.2915367,873.9226681
86,5,948.0027361,964.9757134,288.0819575
87,5,949.1723698,950.0075024,0.697446435
88,5,946.6227724,961.0844326,209.1396158
89,5,947.3972684,938.6752072,76.07435186
90,5,963.4093063,939.2768878,582.3736245
91,5,952.6244075,973.6142311,440.5726958
92,5,940.939061,951.1733102,104.7398554
93,5,968.3866725,921.555752,2193.135117
